Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,0.275,1,0,1.9810014688665833,0
1,1,1,0.475,1,0,4.26666207838721,1
1,3,1,0.325,0,0,2.0700223197633445,0
1,1,1,0.4375,1,0,3.9721769282478934,0
0,3,0,0.4375,0,0,2.0856720914304723,0
0,1,0,0.675,0,0,3.948595985658986,0
0,3,0,0.025,3,1,3.048087503887919,0
1,3,1,0.3375,0,2,2.409940617298087,0
1,2,1,0.175,1,0,3.4035546012358333,1
1,3,1,0.05,1,1,2.8154087194227095,0
1,1,1,0.725,0,0,3.279029747687948,0
0,3,0,0.25,0,0,2.0856720914304723,0
0,3,0,0.4875,1,5,3.442819056352975,0
0,3,1,0.175,0,0,2.061048420562944,0
1,2,1,0.6875,0,0,2.772588722239781,0
0,3,0,0.025,4,1,3.371596911885865,2
0,3,1,0.3875,1,0,2.8903717578961645,0
0,2,0,0.4375,0,0,3.258096538021482,0
1,2,0,0.425,0,0,2.5649493574615367,0
1,3,1,0.1875,0,0,2.0830848965946345,2
1,1,0,0.35,0,0,3.56953269648137,0
0,3,1,0.1,3,1,3.048087503887919,0
1,3,1,0.475,1,5,3.4464097244837033,0
0,1,0,0.2375,3,2,5.572154032177765,0
0,1,0,0.5,0,0,3.32218303393412,1
0,2,0,0.825,0,0,2.3513752571634776,0
0,1,0,0.35,1,0,4.408800007809053,1
0,1,0,0.525,1,0,3.9512437185814275,0
0,3,0,0.2625,0,0,2.0856720914304723,0
0,3,1,0.225,2,0,2.8903717578961645,0
1,3,1,0.175,1,0,2.419630078580691,1
0,3,1,0.5,1,0,2.24865675096849,0
0,2,1,0.3375,1,0,3.044522437723423,0
1,2,1,0.0375,1,2,3.7276000422255353,1
1,3,1,0.2375,0,0,2.0642263758733557,2
0,3,1,0.225,1,0,2.8791984572980396,0
0,3,0,0.0875,4,1,3.6810362766529106,0
0,3,0,0.2625,0,0,2.0541237336955462,0
1,1,1,0.6125,1,0,4.340282339965535,1
1,2,1,0.3625,1,0,3.258096538021482,0
0,1,0,0.8125,0,1,4.126798844886821,1
1,2,1,0.2625,0,0,2.3513752571634776,0
0,3,0,0.35625,0,0,1.9781283799793465,1
1,2,1,0.0625,1,2,3.3232358401924436,0
0,3,0,0.1375,5,2,3.8480176754522337,0
0,3,0,0.275,0,0,1.9781283799793465,1
0,1,0,0.5625,1,0,4.424547185829718,0
0,3,0,0.05,3,2,3.32862668882732,0
1,2,1,0.3625,0,0,2.3513752571634776,0
0,3,0,0.2375,0,0,2.0990358139382788,0
1,3,1,0.2125,4,2,2.0700223197633445,0
0,3,0,0.325,2,0,2.1590033645160216,0
0,2,0,0.4,0,0,2.3513752571634776,0
0,3,1,0.2,5,2,3.8480176754522337,0
0,2,0,0.2625,0,0,4.297285406218791,0
0,3,0,0.325,1,0,2.6709850297651974,1
1,3,0,0.4,0,0,4.034166299106131,0
0,3,0,0.3125,0,0,2.0347056478384444,0
1,2,0,0.010374999999999999,0,2,3.367295829986474,0
1,3,1,0.375,0,0,2.5237266416375825,0
0,3,0,0.275,0,0,2.1972245773362196,0
1,3,0,0.3625,0,0,2.2512917986064953,0
0,1,0,0.35,0,0,3.8522730010223722,0
1,2,1,0.2125,0,0,2.3513752571634776,0
1,3,1,0.4125,3,0,2.7631695003232895,0
0,3,0,0.2,1,3,3.5373295559867355,0
1,1,1,0.2875,3,2,5.572154032177765,0
